T / K,p / kPa,x_1 / mole frac.,bibkey,skip,weight,U_{k=2}(p) / %,kind,FLD1,FLD2,rhoL_1 / mol/m^3,rhoL_2 / mol/m^3,rhoV_1 / mol/m^3,rhoV_2 / mol/m^3,p(EOS) / Pa
270.0,519.87,0.369,2022 out row 0,,1.0,1.15,BUB,R32,R1234YF,4646.010277951891,7944.8034834353475,160.56698549713218,107.32201488384008,525512.7066295876
270.0,519.57,0.369,2022 out row 0,,1.0,1.15,BUB,R32,R1234YF,4646.010277951891,7944.8034834353475,160.56698549713218,107.32201488384008,525512.7066295876
280.0,708.13,0.369,2022 out row 0,,1.0,0.86,BUB,R32,R1234YF,4505.017687440482,7703.702332723426,212.72144987992937,150.87738106173987,715634.4282611043
280.0,707.39,0.369,2022 out row 0,,1.0,0.86,BUB,R32,R1234YF,4505.017687440482,7703.702332723426,212.72144987992937,150.87738106173987,715634.4282611043
290.0,941.66,0.369,2022 out row 0,,1.0,0.65,BUB,R32,R1234YF,4354.454713478516,7446.235566951068,277.0291073104227,208.76936855539142,952416.880426646
290.0,939.79,0.369,2022 out row 0,,1.0,0.65,BUB,R32,R1234YF,4354.454713478516,7446.235566951068,277.0291073104227,208.76936855539142,952416.880426646
300.0,1227.17,0.369,2022 out row 0,,1.0,0.5,BUB,R32,R1234YF,4191.973351110562,7168.388034012913,355.8480746899098,285.58725109161645,1242181.5568581442
300.0,1221.74,0.369,2022 out row 0,,1.0,0.5,BUB,R32,R1234YF,4191.973351110562,7168.388034012913,355.8480746899098,285.58725109161645,1242181.5568581442
310.0,1569.53,0.369,2022 out row 0,,1.0,0.4,BUB,R32,R1234YF,4014.0941808294533,6864.209832258496,452.38195886116296,388.0688919380633,1591440.4783171548
310.0,1562.73,0.369,2022 out row 0,,1.0,0.4,BUB,R32,R1234YF,4014.0941808294533,6864.209832258496,452.38195886116296,388.0688919380633,1591440.4783171548
320.0,1966.02,0.369,2022 out row 0,,1.0,0.32,BUB,R32,R1234YF,3814.813750193706,6523.434895317692,571.3589659912153,526.8577892378994,2006877.684639559
330.0,2456.76,0.369,2022 out row 0,,1.0,0.26,BUB,R32,R1234YF,3582.85385357794,6126.777185928672,720.5869658134181,720.6128142259652,2495247.6898819413
330.0,2444.13,0.369,2022 out row 0,,1.0,0.26,BUB,R32,R1234YF,3582.85385357794,6126.777185928672,720.5869658134181,720.6128142259652,2495247.6898819413
340.0,3016.56,0.369,2022 out row 0,,1.0,0.22,BUB,R32,R1234YF,3295.778358904729,5635.870310213778,915.4174780399946,1008.0522068081891,3062995.287154709
340.0,3003.33,0.369,2022 out row 0,,1.0,0.22,BUB,R32,R1234YF,3295.778358904729,5635.870310213778,915.4174780399946,1008.0522068081891,3062995.287154709
350.0,3662.19,0.369,2022 out row 0,,1.0,0.18,BUB,R32,R1234YF,2893.342585754756,4947.69423200881,1197.973775765597,1501.5332600770212,3713955.900694181
350.0,3655.89,0.369,2022 out row 0,,1.0,0.18,BUB,R32,R1234YF,2893.342585754756,4947.69423200881,1197.973775765597,1501.5332600770212,3713955.900694181
270.0,651.16,0.688,2022 out row 0,,1.0,0.26,BUB,R32,R1234YF,10708.29841514263,4856.088816169334,267.06280774522617,66.69808244879071,643269.0097306785
270.0,651.36,0.688,2022 out row 0,,1.0,0.26,BUB,R32,R1234YF,10708.29841514263,4856.088816169334,267.06280774522617,66.69808244879071,643269.0097306785
280.0,889.1,0.688,2022 out row 0,,1.0,0.22,BUB,R32,R1234YF,10361.66981140655,4698.89677494018,363.01498880323265,93.56268852240304,879041.670722317
290.0,1185.95,0.688,2022 out row 0,,1.0,0.18,BUB,R32,R1234YF,9989.606999759142,4530.170616169845,485.9303465958045,129.60896340142108,1174117.1213426213
290.0,1186.81,0.688,2022 out row 0,,1.0,0.18,BUB,R32,R1234YF,9989.606999759142,4530.170616169845,485.9303465958045,129.60896340142108,1174117.1213426213
300.0,1549.14,0.688,2022 out row 0,,1.0,0.15,BUB,R32,R1234YF,9585.00615519213,4346.688837819688,643.210275328281,178.19265434279936,1537163.256476278
310.0,1989.56,0.688,2022 out row 0,,1.0,0.13,BUB,R32,R1234YF,9136.788207045454,4143.427210171777,845.7660029923544,244.56059095657983,1977398.475742684
310.0,1990.91,0.688,2022 out row 0,,1.0,0.13,BUB,R32,R1234YF,9136.788207045454,4143.427210171777,845.7660029923544,244.56059095657983,1977398.475742684
320.0,2517.72,0.688,2022 out row 0,,1.0,0.12,BUB,R32,R1234YF,8625.392323738552,3911.5151235558556,1111.3133733777765,337.68527418143714,2504739.7485960363
330.0,3143.63,0.688,2022 out row 0,,1.0,0.1,BUB,R32,R1234YF,8012.044628300116,3633.369075624472,1473.0587070472297,475.1800241125123,3130027.2228508093
330.0,3145.06,0.688,2022 out row 0,,1.0,0.1,BUB,R32,R1234YF,8012.044628300116,3633.369075624472,1473.0587070472297,475.1800241125123,3130027.2228508093
340.0,3876.03,0.688,2022 out row 0,,1.0,0.1,BUB,R32,R1234YF,7204.480762233845,3267.1482526409304,2011.260079252083,701.4886199861999,3865290.615266968
345.0,4284.25,0.688,2022 out row 0,,1.0,0.09,BUB,R32,R1234YF,6644.482118734466,3013.1953794260958,2421.756715865576,890.9782300382885,4278065.498567164
283.15,437.4,0.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,0.0,10031.79179534255,0.0,212.7933085460834,437531.689209714
283.15,528.7,0.0855,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,892.0826365847146,9541.632411189723,62.74916722336685,204.05987261495062,542924.1628795104
283.15,616.6,0.1767,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,1926.8922007447718,8977.987260176405,122.36805002089184,193.63549786340045,635318.2245805844
283.15,698.8,0.2703,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,3093.0573406656777,8349.996083920625,177.6191225295608,181.65672881748134,714194.7408622523
283.15,745.2,0.3272,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,3861.628677838901,7940.414958588059,209.1227971112878,173.65509576907874,756238.3684470557
283.15,824.6,0.4366,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,5489.468223115713,7083.7526268973725,267.0472804837463,156.42437405637656,827986.8088415329
283.15,873.3,0.5105,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,6721.009627491832,6444.533227536243,305.2811159814702,143.1139570730948,871457.235765904
283.15,931.0,0.6082,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,8549.288501682688,5507.417354421699,356.0509648008204,122.92354475341801,924575.5374619539
283.15,983.2,0.7056,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,10650.91443974606,4443.918949916723,408.0761380846073,99.21358171816786,973873.5547767224
283.15,1032.5,0.8088,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,13264.563296152934,3135.7375151142946,465.771220231911,69.42899610138203,1023022.3293054125
283.15,1107.3,1.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,19599.627104711453,0.0,581.1208769771497,0.0,1106903.8590995676
293.15,591.7,0.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,0.0,9732.039290677103,0.0,287.58130473922745,591720.0990392494
293.15,704.7,0.0842,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,850.7834229278561,9253.532763863785,77.31675579059662,277.5351457121052,722029.9022806894
293.15,815.6,0.1741,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,1835.1214186297916,8705.495575223118,152.8561947254581,265.03597597909,838758.9935648002
293.15,921.0,0.2675,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,2954.57154465407,8090.555725080769,225.50543560776285,249.91645220526956,941501.5283372926
293.15,975.7,0.3187,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,3616.545688149535,7731.260048121363,263.56643174703146,240.60124353290843,991699.2143552264
293.15,1087.0,0.4338,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,5253.135215592203,6856.443428004392,346.6259198870989,216.57154626247552,1092901.7098403252
293.15,1151.6,0.5071,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,6422.1728513923545,6242.3368141417695,398.9454100656896,198.65945463032463,1151047.429367431
293.15,1230.1,0.6046,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,8165.956369015364,5340.422011757649,469.36724189023795,171.02831039809752,1222965.2783007561
293.15,1302.0,0.703,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,10195.691969969661,4307.426052746785,542.7146139571485,137.94625217639404,1290799.0902427752
293.15,1370.5,0.8071,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,12720.521342768294,3040.2534593235077,623.9279952143474,96.36527983831215,1358487.3628213543
293.15,1474.0,1.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,18864.05659364782,0.0,785.324784083693,0.0,1474563.8160982218
303.15,782.5,0.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,0.0,9411.457761618252,0.0,383.44720796564286,783509.7941074348
303.15,921.2,0.0833,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,812.512209024776,8941.535918523554,94.25182281094025,372.44754514444855,942232.2347340691
303.15,1058.2,0.1723,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,1749.7764700655687,8405.629624337036,188.89542758296358,358.0741197296747,1087304.0535649317
303.15,1191.9,0.2652,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,2816.8796565054195,7804.838505279722,282.7149037723675,339.76236537819045,1217932.4089993397
303.15,1257.9,0.314,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,3419.3519959785945,7470.304042169795,330.68171575206867,328.62941005541944,1279938.9424871502
303.15,1406.6,0.432,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,5018.576042939162,6598.498130531121,445.18784737369754,296.76168616518646,1415840.6673326765
303.15,1490.2,0.5044,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,6118.42635118723,6011.681402950816,515.7440298584008,273.23485318504396,1491742.081015515
303.15,1595.5,0.6025,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,7787.83099034585,5138.029574543527,613.385143460891,235.67536754094743,1587994.7216296177
303.15,1691.7,0.7016,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,9734.27591428254,4140.119630589951,715.7957590628936,190.11115972706725,1679280.3570323288
303.15,1784.4,0.8061,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,12151.366716527455,2922.9003924260924,828.9583170099198,132.73220777506063,1770362.009043204
303.15,1925.8,1.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,18061.360286123236,0.0,1052.904623432495,0.0,1927504.1450890014
313.15,1017.8,0.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,0.0,9064.936092530268,0.0,506.41981831438784,1018391.7811609198
313.15,1182.6,0.082,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,768.6247020076717,8604.847273695641,112.9325316214247,495.3478572128986,1207534.8676197964
313.15,1349.4,0.1699,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,1654.0258185012462,8081.264461082311,229.85558842547042,479.90592215911295,1384408.0124858816
313.15,1515.4,0.2629,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,2671.39568645452,7489.8659584846955,350.50251052268186,458.68016927751967,1548694.930512187
313.15,1595.4,0.3095,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,3217.160686332439,7177.542662076088,410.4643624369389,445.88459774905255,1624052.8231901296
313.15,1788.2,0.4297,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,4758.0038370517,6314.846609891982,566.0923956116383,405.1831579267112,1802244.2406958619
313.15,1894.5,0.5007,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,5775.9292529396735,5759.779261020129,660.0767781741248,375.1973393462218,1899035.9027232355
313.15,2032.8,0.5995,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,7359.849620932603,4916.796952766484,795.1634763634304,324.9261391192577,2025991.8222750134
313.15,2160.1,0.6993,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,9207.653216644432,3959.304050114372,938.0122633608976,262.77100776560496,2147006.117401455
313.15,2284.8,0.8045,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,11506.20012865168,2796.09959621057,1096.2392829753464,183.68190807434274,2268125.978248128
313.15,2476.2,1.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,17165.902854044376,0.0,1408.350139120706,0.0,2478309.8735289453
323.15,1301.4,0.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,0.0,8684.386168593704,0.0,665.4045917459506,1302323.0861129772
323.15,1496.1,0.0813,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,728.1837552248758,8228.566001538664,134.95520929829846,655.7315558093997,1525647.0574057656
323.15,1695.6,0.1681,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF,1558.8970528155025,7714.732053760955,278.07318417337865,640.8770587096652,1737589.52070451
323.15,1898.6,0.2608,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,2516.6033885587053,7132.9494816817305,431.4839689714517,618.2089551252259,1939898.9119865468
323.15,1990.1,0.3041,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,2992.7466164145444,6848.57734417258,504.02990917676897,604.7647510529263,2027605.8163996472
323.15,2239.8,0.4275,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,4471.315316495237,5987.901798113505,716.7652001241173,554.5982548404096,2259505.686794036
323.15,2371.8,0.4974,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,5405.264307676142,5461.7729011621,842.7513961109646,517.1903841032058,2381606.6703683576
323.15,2552.0,0.5972,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,6893.21837697971,4649.344210059324,1031.3234592701806,450.5914291280254,2547213.6052839747
323.15,2718.5,0.6974,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,8619.567780706226,3740.0074712384626,1231.8613920874586,366.2559394310927,2705086.977950217
323.15,2882.7,0.8034,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,10780.827331973596,2638.176068541211,1455.8226275087966,256.53145611300596,2864318.0070801303
323.15,3138.0,1.0,2017 hu  yan 0,x,1.0,,BUB,R32,R1234YF,16132.091947650917,0.0,1894.316667143188,0.0,3141228.5291838814
