T / K,p / kPa,x_1 / mole frac.,bibkey,skip,weight,U_{k=2}(p) / %,kind,FLD1,FLD2
270,519.87,0.369,2022 out row 0,,1,1.15,BUB,R32,R1234YF
270,519.57,0.369,2022 out row 0,,1,1.15,BUB,R32,R1234YF
280,708.13,0.369,2022 out row 0,,1,0.86,BUB,R32,R1234YF
280,707.39,0.369,2022 out row 0,,1,0.86,BUB,R32,R1234YF
290,941.66,0.369,2022 out row 0,,1,0.65,BUB,R32,R1234YF
290,939.79,0.369,2022 out row 0,,1,0.65,BUB,R32,R1234YF
300,1227.17,0.369,2022 out row 0,,1,0.5,BUB,R32,R1234YF
300,1221.74,0.369,2022 out row 0,,1,0.5,BUB,R32,R1234YF
310,1569.53,0.369,2022 out row 0,,1,0.4,BUB,R32,R1234YF
310,1562.73,0.369,2022 out row 0,,1,0.4,BUB,R32,R1234YF
320,1966.02,0.369,2022 out row 0,,1,0.32,BUB,R32,R1234YF
330,2456.76,0.369,2022 out row 0,,1,0.26,BUB,R32,R1234YF
330,2444.13,0.369,2022 out row 0,,1,0.26,BUB,R32,R1234YF
340,3016.56,0.369,2022 out row 0,,1,0.22,BUB,R32,R1234YF
340,3003.33,0.369,2022 out row 0,,1,0.22,BUB,R32,R1234YF
350,3662.19,0.369,2022 out row 0,,1,0.18,BUB,R32,R1234YF
350,3655.89,0.369,2022 out row 0,,1,0.18,BUB,R32,R1234YF
270,651.16,0.688,2022 out row 0,,1,0.26,BUB,R32,R1234YF
270,651.36,0.688,2022 out row 0,,1,0.26,BUB,R32,R1234YF
280,889.1,0.688,2022 out row 0,,1,0.22,BUB,R32,R1234YF
290,1185.95,0.688,2022 out row 0,,1,0.18,BUB,R32,R1234YF
290,1186.81,0.688,2022 out row 0,,1,0.18,BUB,R32,R1234YF
300,1549.14,0.688,2022 out row 0,,1,0.15,BUB,R32,R1234YF
310,1989.56,0.688,2022 out row 0,,1,0.13,BUB,R32,R1234YF
310,1990.91,0.688,2022 out row 0,,1,0.13,BUB,R32,R1234YF
320,2517.72,0.688,2022 out row 0,,1,0.12,BUB,R32,R1234YF
330,3143.63,0.688,2022 out row 0,,1,0.1,BUB,R32,R1234YF
330,3145.06,0.688,2022 out row 0,,1,0.1,BUB,R32,R1234YF
340,3876.03,0.688,2022 out row 0,,1,0.1,BUB,R32,R1234YF
345,4284.25,0.688,2022 out row 0,,1,0.09,BUB,R32,R1234YF
283.15,437.4,0,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
283.15,528.7,0.0855,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
283.15,616.6,0.1767,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
283.15,698.8,0.2703,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
283.15,745.2,0.3272,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
283.15,824.6,0.4366,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
283.15,873.3,0.5105,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
283.15,931,0.6082,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
283.15,983.2,0.7056,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
283.15,1032.5,0.8088,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
283.15,1107.3,1,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
293.15,591.7,0,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
293.15,704.7,0.0842,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
293.15,815.6,0.1741,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
293.15,921,0.2675,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
293.15,975.7,0.3187,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
293.15,1087,0.4338,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
293.15,1151.6,0.5071,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
293.15,1230.1,0.6046,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
293.15,1302,0.703,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
293.15,1370.5,0.8071,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
293.15,1474,1,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
303.15,782.5,0,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
303.15,921.2,0.0833,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
303.15,1058.2,0.1723,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
303.15,1191.9,0.2652,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
303.15,1257.9,0.314,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
303.15,1406.6,0.432,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
303.15,1490.2,0.5044,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
303.15,1595.5,0.6025,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
303.15,1691.7,0.7016,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
303.15,1784.4,0.8061,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
303.15,1925.8,1,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
313.15,1017.8,0,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
313.15,1182.6,0.082,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
313.15,1349.4,0.1699,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
313.15,1515.4,0.2629,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
313.15,1595.4,0.3095,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
313.15,1788.2,0.4297,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
313.15,1894.5,0.5007,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
313.15,2032.8,0.5995,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
313.15,2160.1,0.6993,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
313.15,2284.8,0.8045,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
313.15,2476.2,1,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
323.15,1301.4,0,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
323.15,1496.1,0.0813,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
323.15,1695.6,0.1681,2017 hu  yan 0,,0.75,,BUB,R32,R1234YF
323.15,1898.6,0.2608,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
323.15,1990.1,0.3041,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
323.15,2239.8,0.4275,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
323.15,2371.8,0.4974,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
323.15,2552,0.5972,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
323.15,2718.5,0.6974,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
323.15,2882.7,0.8034,2017 hu  yan 0,x,1,,BUB,R32,R1234YF
323.15,3138,1,2017 hu  yan 0,x,1,,BUB,R32,R1234YF